source,target
0,52582
0,52586
0,267919
0,268962
0,268966
0,268970
0,268992
1,52583
1,52587
1,267920
1,268963
1,268967
1,268971
1,268993
2,52584
2,52588
2,267921
2,268964
2,268968
2,268972
2,268994
3,52585
3,52589
3,267922
3,268965
3,268969
3,268973
3,268995
4,52590
4,141210
4,141222
4,188178
5,52591
5,141211
5,141223
5,188179
6,52592
6,141212
6,141224
6,188180
7,52593
7,141213
7,141225
7,188181
8,52594
8,141214
8,141226
8,188182
9,52595
9,141215
9,141227
9,188183
10,52596
10,141216
10,141228
10,188184
11,52597
11,141217
11,141229
11,188185
12,52598
12,141218
12,141230
12,188186
13,52599
13,141219
13,141231
13,188187
14,52600
14,141220
14,141232
14,188188
15,52601
15,141221
15,141233
15,188189
16,52602
17,52603
18,52604
19,52605
20,52606
21,52607
22,52608
23,52609
24,52610
25,52611
26,52612
27,52613
28,52614
29,52615
30,52616
31,52617
32,52618
33,52619
34,52620
35,52621
36,52622
37,52623
38,52624
39,52625
40,52626
40,53265
40,53277
40,53283
40,53295
40,53307
40,301735
41,52627
41,53266
41,53278
41,53284
41,53296
41,53308
41,301736
42,52628
42,53267
42,53279
42,53285
42,53297
42,53309
42,301737
43,52629
43,53268
43,53280
43,53286
43,53298
43,53310
43,301738
44,52630
44,53269
44,53281
44,53287
44,53299
44,53311
44,301739
45,52631
45,53270
45,53282
45,53288
45,53300
45,53312
45,301740
46,52632
46,131270
46,131345
46,131355
46,131365
46,131375
46,131385
46,131395
46,131405
46,131415
46,131503
46,131543
47,52633
47,131271
47,131346
47,131356
47,131366
47,131376
47,131386
47,131396
47,131406
47,131416
47,131504
47,131544
48,52634
48,131272
48,131347
48,131357
48,131367
48,131377
48,131387
48,131397
48,131407
48,131417
48,131505
48,131545
49,52635
49,131273
49,131348
49,131358
49,131368
49,131378
49,131388
49,131398
49,131408
49,131418
49,131506
49,131546
50,52636
50,131274
50,131349
50,131359
50,131369
50,131379
50,131389
50,131399
50,131409
50,131419
50,131507
50,131547
51,52637
51,52645
51,52653
51,52661
51,52669
51,52677
51,52685
51,135058
51,135124
51,135141
51,135168
51,135193
51,135255
51,135298
51,135325
51,135370
51,135395
51,135440
51,135465
51,135510
52,52638
52,52646
52,52654
52,52662
52,52670
52,52678
52,52686
52,135059
52,135125
52,135142
52,135169
52,135194
52,135256
52,135299
52,135326
52,135371
52,135396
52,135441
52,135466
52,135511
53,52639
53,52647
53,52655
53,52663
53,52671
53,52679
53,52687
53,135060
53,135126
53,135143
53,135170
53,135195
53,135257
53,135300
53,135327
53,135372
53,135397
53,135442
53,135467
53,135512
54,52640
54,52648
54,52656
54,52664
54,52672
54,52680
54,52688
54,135061
54,135127
54,135144
54,135171
54,135196
54,135258
54,135301
54,135328
54,135373
54,135398
54,135443
54,135468
54,135513
55,52641
55,52649
55,52657
55,52665
55,52673
55,52681
55,52689
55,135062
55,135128
55,135145
55,135172
55,135197
55,135259
55,135302
55,135329
55,135374
55,135399
55,135444
55,135469
55,135514
56,52642
56,52650
56,52658
56,52666
56,52674
56,52682
56,52690
56,135063
56,135129
56,135146
56,135173
56,135198
56,135260
56,135303
56,135330
56,135375
56,135400
56,135445
56,135470
56,135515
57,52643
57,52651
57,52659
57,52667
57,52675
57,52683
57,52691
57,135064
57,135130
57,135147
57,135174
57,135199
57,135261
57,135304
57,135331
57,135376
57,135401
57,135446
57,135471
57,135516
58,52644
58,52652
58,52660
58,52668
58,52676
58,52684
58,52692
58,135065
58,135131
58,135148
58,135175
58,135200
58,135262
58,135305
58,135332
58,135377
58,135402
58,135447
58,135472
58,135517
59,52693
59,136222
60,52694
60,136223
61,52695
61,136224
62,52696
62,136225
63,52697
63,136226
64,52698
64,226861
64,226903
64,226943
64,227011
64,227051
64,227091
64,227217
65,52699
65,226862
65,226904
65,226944
65,227012
65,227052
65,227092
65,227218
66,52700
66,226863
66,226905
66,226945
66,227013
66,227053
66,227093
66,227219
67,52701
67,226864
67,226906
67,226946
67,227014
67,227054
67,227094
67,227220
68,52702
68,226865
68,226907
68,226947
68,227015
68,227055
68,227095
68,227221
69,52703
69,226866
69,226908
69,226948
69,227016
69,227056
69,227096
69,227222
70,52704
70,226867
70,226909
70,226949
70,227017
70,227057
70,227097
70,227223
71,52705
71,226868
71,226910
71,226950
71,227018
71,227058
71,227098
71,227224
72,52706
72,226869
72,226911
72,226951
72,227019
72,227059
72,227099
72,227225
73,52707
73,226870
73,226912
73,226952
73,227020
73,227060
73,227100
73,227226
74,52708
74,226871
74,226913
74,226953
74,227021
74,227061
74,227101
74,227227
75,52709
75,226872
75,226914
75,226954
75,227022
