id,stopNumber,routeName
0,1,KNGX-GLGC-101E39
1,2,KNGX-GLGC-101E39
2,3,KNGX-GLGC-101E39
3,4,KNGX-GLGC-101E39
4,5,KNGX-GLGC-101E39
5,6,KNGX-GLGC-101E39
6,7,KNGX-GLGC-101E39
7,8,KNGX-GLGC-101E39
8,9,KNGX-GLGC-101E39
9,10,KNGX-GLGC-101E39
10,11,KNGX-GLGC-101E39
11,12,KNGX-GLGC-101E39
12,13,KNGX-GLGC-101E39
13,0,LEEDS-ABRDEEN-A04994
14,1,LEEDS-ABRDEEN-A04994
15,2,LEEDS-ABRDEEN-A04994
16,3,LEEDS-ABRDEEN-A04994
17,4,LEEDS-ABRDEEN-A04994
18,5,LEEDS-ABRDEEN-A04994
19,6,LEEDS-ABRDEEN-A04994
20,7,LEEDS-ABRDEEN-A04994
21,8,LEEDS-ABRDEEN-A04994
22,9,LEEDS-ABRDEEN-A04994
23,10,LEEDS-ABRDEEN-A04994
24,11,LEEDS-ABRDEEN-A04994
25,12,LEEDS-ABRDEEN-A04994
26,13,LEEDS-ABRDEEN-A04994
27,14,LEEDS-ABRDEEN-A04994
28,15,LEEDS-ABRDEEN-A04994
29,16,LEEDS-ABRDEEN-A04994
30,17,LEEDS-ABRDEEN-A04994
31,0,KNGX-ABRDEEN-F5615B
32,1,KNGX-ABRDEEN-F5615B
33,2,KNGX-ABRDEEN-F5615B
34,3,KNGX-ABRDEEN-F5615B
35,4,KNGX-ABRDEEN-F5615B
36,5,KNGX-ABRDEEN-F5615B
37,6,KNGX-ABRDEEN-F5615B
38,7,KNGX-ABRDEEN-F5615B
39,8,KNGX-ABRDEEN-F5615B
40,9,KNGX-ABRDEEN-F5615B
41,10,KNGX-ABRDEEN-F5615B
42,11,KNGX-ABRDEEN-F5615B
43,12,KNGX-ABRDEEN-F5615B
44,13,KNGX-ABRDEEN-F5615B
45,14,KNGX-ABRDEEN-F5615B
46,0,KNGX-IVRNESS-A589F2
47,1,KNGX-IVRNESS-A589F2
48,2,KNGX-IVRNESS-A589F2
49,3,KNGX-IVRNESS-A589F2
50,4,KNGX-IVRNESS-A589F2
51,5,KNGX-IVRNESS-A589F2
52,6,KNGX-IVRNESS-A589F2
53,7,KNGX-IVRNESS-A589F2
54,8,KNGX-IVRNESS-A589F2
55,9,KNGX-IVRNESS-A589F2
56,10,KNGX-IVRNESS-A589F2
57,11,KNGX-IVRNESS-A589F2
58,12,KNGX-IVRNESS-A589F2
59,13,KNGX-IVRNESS-A589F2
