source,target
3661,318866
3675,318866
3694,318866
3708,318866
3724,318866
3742,318866
3756,318866
3830,318866
3857,318866
3892,318866
14459,318866
14476,318866
14490,318866
14514,318866
15747,318866
15764,318866
15772,318866
47085,318866
28074,318867
28101,318867
28182,318867
28192,318867
1354,318868
27850,318868
27920,318868
27938,318868
28020,318868
28167,318868
28176,318868
28369,318868
28389,318868
28405,318868
28422,318868
28441,318868
28457,318868
28469,318868
28478,318868
28493,318868
28518,318868
28537,318868
28554,318868
28574,318868
48179,318868
322225,318868
322261,318868
26701,318869
26766,318869
26781,318869
26809,318869
26827,318869
26888,318869
26926,318869
26991,318869
27011,318869
27028,318869
27046,318869
27269,318869
27282,318869
27310,318869
27544,318869
27734,318869
27779,318869
47562,318869
47618,318869
47715,318869
50907,318869
322210,318869
30,318871
45,318871
3361,318871
3368,318871
3376,318871
3387,318871
3397,318871
3417,318871
3433,318871
3451,318871
3467,318871
3499,318871
3507,318871
3520,318871
3956,318871
3974,318871
3997,318871
4006,318871
4013,318871
4019,318871
4184,318871
4191,318871
4196,318871
4201,318871
4208,318871
8278,318871
14126,318871
14171,318871
14179,318871
14188,318871
14189,318871
14199,318871
14209,318871
14591,318871
14768,318871
14769,318871
14777,318871
14786,318871
14789,318871
45905,318871
45916,318871
45927,318871
45934,318871
45954,318871
45962,318871
45982,318871
45993,318871
46171,318871
46491,318871
49411,318871
49479,318871
50325,318871
321780,318871
322452,318871
28079,318872
28214,318872
26906,318873
27332,318873
27345,318873
27356,318873
27368,318873
27381,318873
27400,318873
27411,318873
27436,318873
27477,318873
27518,318873
27536,318873
27558,318873
27569,318873
27583,318873
27595,318873
27610,318873
27631,318873
27658,318873
27688,318873
27718,318873
27748,318873
27763,318873
44796,318873
44805,318873
47668,318873
47696,318873
47740,318873
47763,318873
47782,318873
47803,318873
47831,318873
47858,318873
47876,318873
47900,318873
47929,318873
47948,318873
47972,318873
47996,318873
48016,318873
48038,318873
50800,318873
50819,318873
50837,318873
50854,318873
50872,318873
50891,318873
27081,318874
27197,318874
27211,318874
27226,318874
27316,318874
28217,318874
28218,318874
28227,318874
1185,318875
1475,318875
1490,318875
1536,318875
23160,318875
23191,318875
23248,318875
23274,318875
24297,318875
24311,318875
24326,318875
24432,318875
24449,318875
24551,318875
25850,318875
37331,318875
37368,318875
37394,318875
37429,318875
37456,318875
37490,318875
37527,318875
37561,318875
37588,318875
37628,318875
37660,318875
37686,318875
37721,318875
37755,318875
321543,318875
24798,318876
24817,318876
24837,318876
24852,318876
24873,318876
24890,318876
24912,318876
24933,318876
24951,318876
24986,318876
25007,318876
25029,318876
25039,318876
25058,318876
25076,318876
25097,318876
25117,318876
25134,318876
25154,318876
47463,318876
5263,318877
5275,318877
5298,318877
6480,318877
15630,318878
15645,318878
15628,318879
15647,318879
3344,318880
3844,318880
3878,318880
14086,318880
14113,318880
14742,318880
15629,318881
15646,318881
41393,318882
41853,318882
41926,318882
3216,318883
