source,distance,target
318865,1.53,319411
318866,2.7,319088
318866,2.85,319524
318867,0.93,320668
318867,3.61,321261
318868,0.61,319489
318868,1.03,319697
318869,6.1,319315
318869,4.28,320825
318870,2.5,320704
318870,3.49,320760
318870,1.56,320778
318871,6.14,319635
318871,8.2,320693
318872,1.59,320671
318872,1.76,320770
318873,23.99,319987
318873,9.3,320717
318874,4.3,319165
318875,1.48,319054
318875,1.53,320690
318877,2.67,319943
318877,7.94,320868
318877,9.65,321468
318878,6.48,318881
318878,4.18,320251
318879,12.53,318881
318879,5.53,321056
318880,13.75,320173
318880,7.54,320588
318882,3.99,318914
318882,5.29,321336
318883,2.45,320287
318883,7.91,321500
318884,0.98,320623
318884,0.96,321260
318885,0.84,319362
318885,1.7,320099
318886,0.69,320880
318887,1.44,319637
318887,3.74,320154
318887,4.2,320642
318888,2.01,319076
318888,1.89,321060
318889,2.63,319184
318889,1.73,321319
318890,1.08,318917
318890,3.03,319050
318891,2.18,320724
318891,1.93,320740
318892,1.95,319286
318892,1.43,319379
318892,1.75,321358
318893,2.03,319118
318893,3.06,319361
318894,2.35,319265
318894,4.66,320923
318895,1.2,320627
318895,0.99,321230
318896,0.73,319495
318896,1.38,321093
318897,2.86,319792
318897,1.49,320007
318898,0.91,320620
318898,0.93,320626
318899,2.27,319931
318899,0.76,320485
318900,0.88,319429
318900,1.5,319610
318902,1.01,319069
318902,0.94,320975
318903,3.15,319431
318903,1.6,319454
318904,3.01,319342
318904,1.64,321411
318905,1.95,320436
318905,3.55,321187
318906,2.81,318968
318906,2.54,318972
318906,3.06,319735
318907,0.48,320062
318907,0.99,320742
318909,0.71,319163
318909,0.93,320078
318909,1.46,320551
318910,10.16,319346
318910,6.33,320284
318910,24.48,320340
318911,0.48,319664
318911,2.75,321245
318912,6.8,321081
318913,10.15,319565
318913,2.59,320132
318914,11.18,319348
318915,3.04,319898
318915,1.74,321403
318916,6.31,319469
318916,2.34,320169
318917,0.93,321016
318918,2.96,319220
318918,3.06,319732
318919,8.09,319773
318919,9.08,320903
318920,4.84,319138
318921,3.73,319487
318921,3.41,320901
318922,0.61,319924
318922,0.63,320526
318923,1.98,319072
318923,3.23,320800
318924,2.31,319001
318924,1.11,320817
318925,0.94,319131
318925,0.34,319622
318926,2.74,319053
318926,1.99,321315
318927,2.05,319353
318927,5.18,319903
318928,3.59,318959
318928,4.78,320761
318929,1.79,320307
318929,1.16,320710
318930,12.54,319159
318930,9.19,319901
318930,3.88,320787
318931,6.38,319875
318931,7.18,321380
318932,0.51,319722
318932,0.41,319836
318933,1.13,320566
318933,0.4,320666
318934,4.15,319769
318934,2.46,319868
318934,5.1,320359
318935,15.51,319625
318935,8.1,319881
318936,1.24,320385
318936,1.94,321048
318937,1.0,319543
318937,0.94,320111
318937,1.5,321356
318938,10.68,320218
318938,11.4,320378
318939,2.99,320033
318939,6.8,320877
318940,3.5,320213
318940,3.09,320960
318941,1.8,319815
318941,2.24,320648
318942,6.61,319360
318942,1.01,319514
318942,2.08,319560
318943,1.41,319983
318943,2.14,320185
318944,6.13,319422
318944,14.12,320476
318945,8.04,318947
318945,10.61,319884
318946,3.13,319515
318946,13.59,321167
318947,8.71,319481
318949,0.79,320987
318949,4.65,321406
318950,0.41,318948
318950,0.59,318949
318951,0.89,320466
318952,1.23,319196
318952,0.38,319836
318953,3.41,319043
318953,4.71,320477
318954,4.25,319080
318954,4.99,320012
318955,2.43,319111
318955,2.45,319261
318956,9.6,319303
318956,5.6,320243
318957,3.2,319872
318957,2.35,320905
318958,2.95,319067
318958,5.06,320092
318959,2.28,319769
318959,3.23,320359
318960,3.13,318995
318960,2.29,320435
318960,2.11,321134
318961,3.7,319335
318961,1.29,321036
318962,2.69,319742
318962,1.53,321041
318963,2.3,319840
318963,0.58,320722
318964,0.79,318951
318964,1.1,319113
318964,1.11,319869
318964,3.86,320467
318965,7.25,319357
318965,11.29,321452
318965,14.75,321454
318966,2.03,319695
318966,1.8,320274
318967,6.1,319480
318967,33.55,319642
318967,5.53,320033
318967,5.68,320695
318967,8.08,321353
318967,4.28,321493
318968,1.99,320577
318968,2.08,321298
318969,1.65,319924
318969,1.88,320472
318970,6.3,320467
318970,1.21,320899
318971,2.78,319459
318971,3.56,319698
318972,4.51,319207
318972,3.21,319785
318973,4.41,318998
318973,3.9,320856
318974,6.01,319016
318974,3.26,320208
318975,2.19,319084
318975,1.83,319681
318976,1.68,320831
318976,0.96,321438
318977,7.66,320489
318977,8.15,321390
318978,1.39,319618
318978,1.09,319876
318978,2.95,321060
318978,0.71,321402
318979,2.33,321056
318979,4.91,321119
318980,0.22,319919
318980,3.6,321292
318981,5.2,320563
318981,4.19,320771
318982,1.46,319065
318982,5.16,319686
318982,2.95,320332
318982,10.16,320340
318983,3.61,319646
318983,3.25,321033
318984,4.01,319899
318984,1.79,320549
318985,6.48,319305
318985,11.99,320166
318986,1.33,319177
318986,0.91,319783
318987,0.84,320759
318987,0.91,320881
318987,1.4,320937
318988,13.16,319475
318988,10.19,320046
318989,3.09,320510
318989,0.89,320597
318990,4.34,320360
318990,2.21,321087
318991,2.5,318990
318992,8.96,320408
318992,1.2,320610
318993,1.44,319375
318993,3.73,319460
318994,0.9,319651
318994,0.88,320450
318995,3.29,319412
318996,3.2,319907
318996,1.46,320960
318997,3.94,320112
318997,4.54,321185
318998,1.96,320357
318999,3.25,319707
318999,4.1,320443
318999,1.95,321116
318999,1.05,321117
318999,0.59,321299
319000,0.75,320471
319002,1.55,319186
319002,0.94,320474
319003,1.65,319949
319003,1.93,320053
319004,1.06,319450
319004,2.24,319795
319005,7.29,320234
319005,3.48,320280
319006,1.48,319051
319006,1.46,319694
319007,3.65,320128
319007,1.3,321242
319008,3.76,319479
319008,2.59,320232
319008,1.43,320478
319009,1.35,319200
319009,0.61,319835
319011,3.05,319559
319011,7.68,321274
319011,1.63,321328
319011,3.47,321364
319012,2.82,319011
319013,2.54,321104
319013,0.56,321342
319014,1.74,319685
319014,2.41,320511
319015,1.18,320500
319015,1.19,320765
319016,1.85,320849
319017,3.08,320340
319017,2.02,320977
319018,1.18,319019
319018,0.8,319020
319018,3.27,320823
319019,0.85,319288
319021,1.39,320554
319022,1.5,320225
319022,2.21,320682
319023,1.6,320630
319023,1.18,321142
319024,12.94,319350
319024,7.2,319783
319024,1.01,320619
319025,1.34,319634
319025,3.18,320493
319026,1.45,319401
319026,1.24,321283
319026,0.7,321432
319027,2.05,319499
319027,5.99,320792
319028,3.49,319513
319028,2.9,319999
319029,0.51,320822
319029,0.6,321256
319030,0.66,319052
319030,0.85,320791
319031,0.83,320157
319031,0.5,320528
319031,1.38,320968
319032,2.53,319781
319032,1.54,321007
319033,2.09,319955
319033,1.16,320711
319034,7.98,320077
319034,1.74,321355
319035,4.86,320105
319035,1.56,320918
319036,12.96,319918
319036,12.44,320177
319037,12.97,319918
319037,5.94,320130
319038,1.63,319891
319038,0.83,320065
319039,3.36,319455
319039,0.66,319952
319039,3.36,320008
319040,0.89,319237
319040,0.91,320650
319041,0.98,319205
319041,0.85,320263
319041,1.8,321276
319042,3.25,319387
319042,1.61,321392
319043,4.78,320247
319044,10.1,320135
319044,2.91,320517
319045,1.01,320743
319045,1.01,320840
319046,4.56,319172
319046,6.35,320632
319047,0.75,319064
319047,9.63,319759
319047,15.25,321412
319048,3.0,319060
319048,2.64,319457
319049,4.78,320100
319049,8.95,320677
319050,2.93,319423
319051,1.09,321139
319052,0.88,319310
319053,2.53,319620
319054,1.23,319699
319055,7.13,320101
319056,3.39,320288
319056,2.61,320682
319057,2.8,319058
319057,1.69,319290
319058,4.16,321052
319059,3.23,319983
319059,3.95,321239
319060,1.51,320563
319061,1.08,320047
319061,1.07,320300
319062,4.46,319850
319062,4.14,320714
319063,3.03,320425
319063,2.14,320546
319064,3.09,320189
319065,3.28,320581
319066,3.4,320336
319066,4.35,320712
319067,4.29,319511
319068,0.81,319509
319068,3.9,321092
319069,1.45,319470
319070,1.75,319199
319070,1.92,320750
319071,2.11,319627
319071,2.82,321081
319072,2.53,320341
319073,1.94,320032
319073,1.71,320499
